contributor_zip,total_population,median_age,median_income,num_donations,total_amt_donated,white_alone_percent,black_alone_percent,native_american_percent,asian_alone_percent,hawaiian_pacific_percent,other_race_percent,two_or_more_races_percent,amt_donated_per_resident
21742,34549,41,80306,38,59050.25,75.20912327419028,10.561810761527106,0.09262207299777128,2.822078786650844,0.09262207299777128,1.913224695360213,9.308518336276014,1.7091739268864512
20630,307,54.8,193274,1,520.51,85.99348534201955,1.9543973941368076,0,0,0,0,12.052117263843648,1.6954723127035831
21029,13817,42.8,238095,22,23344.02,42.81681985959325,9.358037200550047,0.1375117608742853,41.62263877831657,0.5500470434971412,1.1362813924875153,4.37866396468119,1.6895143663602807
21131,7722,48.4,187500,9,12850,91.91919191919192,0.8676508676508676,0.6345506345506345,1.6058016058016058,0,1.1655011655011656,3.807303807303807,1.664076664076664
21666,14193,44.4,119154,15,23061.29,88.11385894455013,4.741774113999859,0,1.9093919537800323,0,0.20432607623476362,5.030648911435215,1.6248354822799973
21028,2974,48.6,128220,2,4600,86.24747814391392,0.8742434431741762,0,3.295225285810356,0,2.723604572965703,6.859448554135844,1.546738399462004
21619,5776,49.6,94815,14,8549.69,82.84279778393352,7.531163434903047,0,1.0214681440443214,0,3.9300554016620497,4.674515235457063,1.4802094875346261
21146,29710,42.1,171848,30,43020.35,88.20262537866039,3.453382699427802,0.006731740154830023,2.487377987209694,0,0.851565129585998,4.9983170649612925,1.448009087849209
21015,30485,40.1,135454,23,43138.75,81.11530260783992,6.980482204362802,0.013121207151057896,5.0582253567328195,0,1.4630145973429556,5.369854026570445,1.4150811874692473
20692,721,54.8,154833,1,1000,90.42995839112345,0.13869625520110956,0,0,0,0,9.43134535367545,1.3869625520110958
20613,14800,44.2,145445,29,20310,22.89189189189189,64.45945945945945,0.08108108108108107,2.5472972972972974,0,2.4391891891891895,7.581081081081082,1.3722972972972973
21136,35038,43.5,105300,28,47693.45,55.98493064672642,27.473029282493293,0.1969290484616702,7.788686568868086,0,2.6913636623094925,5.865060791141047,1.3611921342542381
20852,48379,38.5,121550,65,64676.52,55.689452034973854,10.705057979701937,0.2811137063601976,19.954939126480497,0.004134025093532318,3.4395088778188887,9.925794249571094,1.336871783211724
21624,201,59.5,87813,1,267,94.02985074626866,5.970149253731343,0,0,0,0,0,1.328358208955224
21794,2309,43.6,191458,6,3054.1,66.7388479861412,4.850584668687744,0,22.17410134257254,0,0,6.236466002598527,1.3226938068427891
20841,9312,47.5,177588,6,12147,37.97250859106529,9.954896907216494,0,45.822594501718214,0,0.9342783505154639,5.315721649484536,1.3044458762886597
20678,12874,38.5,115710,8,16519.72,71.94345191859563,16.83237533012273,0.17088705918906325,2.3147428926518563,0,1.5768215006990833,7.161721298741649,1.2831847133757963
21152,6517,41.9,113711,7,8330.75,83.41261316556697,7.626208378088077,0.19947828755562375,5.109713058155593,0,1.1815252416756177,2.4704618689581093,1.2783105723492405
21673,2793,44.4,66163,2,3500,76.69172932330827,16.541353383458645,0.5370569280343717,0.39384174722520593,0,0.0716075904045829,5.764411027568922,1.2531328320802004
20910,45072,35.1,103813,104,55874.27,46.63427405040824,30.72639332623358,0.30839545615903446,7.268370607028754,0.03106141285055023,5.395811146609868,9.635694000709975,1.2396669772807951
21231,14780,32.8,88091,10,16700,60.05412719891745,26.04194857916103,0.35859269282814615,6.2516914749661705,0,1.9891745602165087,5.30446549391069,1.1299052774018945
20769,6812,43.1,155794,17,7557.03,23.766881972988845,45.273047563123896,0,15.002935995302408,0.04403992953611274,13.872577803875513,2.040516735173224,1.1093702290076335
20774,51010,42.5,118595,101,56583.43,5.389139384434424,86.54185453832581,0.09213879631444814,1.6879043324838268,0,1.958439521662419,4.330523426779063,1.1092615173495393
20778,2564,47.1,178854,6,2833.2,94.61778471138845,0.62402496099844,0,0,0,0,4.758190327613105,1.1049921996879875
